Filter #,Cruise,Sample_ID,BIOREP_OF,DATE (YYYYMMDD),GMT-,LINE START,STATION START,STATION_ID_START,TIME START,LAT START,LONG START,LINE END,STATION END,STATION_ID_END,DATE_END,TIME END,LAT END,LONG END ,VOLUME FILTERED (L),SAMPLE TYPE,SAMPLE DESCRIPTION,INSHORE.OFFSHORE,Technician,Biological_notes,Technical_notes,Seafood_served,CTD Cast #,CTD Cast Time (HH:MM),CTD Time At Depth (HH:MM),Bottle_num,Depth (m),Storage box,Storage location,Cut_filter_storage_location
F001,SH2607,SH2607_F001,,20260629,7,93.3,26.7,93.3-26.7,23:58,33.1610,-117.4824,93.3,28.0,93.3-28,20260630,00:34,33.2406,-117.4697,18.25,MOSAIC-B,last hour,ONSHORE,EGC,,"used bottom screen for lat lon, weird format","Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F002,SH2607,SH2607_F002,,20260630,7,93.3,28.0,93.3-28,00:48,33.2382,-117.4679,93.3,28.0,93.3-28,20260630,01:26,33.1914,117.5044,8.5,MOSAIC-E,on station,ONSHORE,EGC,,,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F003,SH2607,SH2607_F003,,20260630,7,93.3,28.0,93.3-28,01:32,33.1757,117.5119,93.3,30.0,93.3-30,20260630,02:26,33.0277,117.5103,19,MOSAIC-B,first hour,ONSHORE,EGC,,,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F004,SH2607,SH2607_F004,,20260630,7,93.3,28.0,93.3-28,02:34,33.0004,117.5104,93.3,30.0,93.3-30,20260630,03:38,32.8447,117.5337,25,MOSAIC-B,last hour,ONSHORE,EGC,,,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F005,SH2607,SH2607_F005,,20260630,7,93.3,30.0,93.3-30,03:47,32.8454,117.5353,93.3,30.0,93.3-30,20260630,04:09,32.8444,117.5373,19.5,MOSAIC-E,on station,ONSHORE,EGC,,,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F006,SH2607,SH2607_F006,,20260630,7,93.3,30.0,93.3-30,05:09,32.8503,117.5551,93.3,35.0,93.3-35,20260630,06:04,32.7675,117.7080,12.25,MOSAIC-B,first hour,ONSHORE,EGC,,lat lon image blurry,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F007,SH2607,SH2607_F007,,20260630,7,93.3,30.0,93.3-30,06:11,32.7571,117.7268,93.3,35.0,93.3-35,20260630,07:07,32.6792,117.8736,20,MOSAIC-B,last hour,ONSHORE,EGC,dolphins sighted,,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F008,SH2607,SH2607_F008,,20260630,7,93.3,35.0,93.3-35,07:14,32.6802,117.8746,93.3,35.0,93.3-35,20260630,07:30,32.6800,117.8751,19.5,MOSAIC-E,on station,ONSHORE,EGC,,,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F009,SH2607,SH2607_F009,,20260630,7,93.3,35.0,93.3-35,08:47,32.6737,117.8907,93.3,40.0,93.3-40,20260630,09:55,32.5811,118.0749,18.5,MOSAIC-B,first hour,ONSHORE,EGC,unidentified large whale sighted,"gust of wind blew shop towel, may have touched the filter. shop towel now more secure + talked to ben about when i can close the door to the CTD deck. accidentally UV'd closed tubes with filters inside for <1s.","Cod (prior day dinner), swai (lunch)",,,,,5,1,,
F010,SH2607,SH2607_F010,,20260630,7,93.3,35.0,93.3-35,10:04,32.5674,118.1019,93.3,40.0,93.3-40,20260630,10:46,32.5141,118.2127,16,MOSAIC-B,last hour,ONSHORE,EGC,,cryovial half (folded) touched labcoat sleeve,"Cod (prior day dinner), swai (lunch)",,,,,5,1,,
